,Date,Total
505,05/27/2010,342
506,05/28/2010,347
507,05/29/2010,138
508,05/30/2010,150
509,05/31/2010,128
510,06/01/2010,486
511,06/02/2010,406
512,06/03/2010,425
513,06/04/2010,371
514,06/05/2010,161
515,06/06/2010,130
516,06/07/2010,451
517,06/08/2010,328
518,06/09/2010,324
519,06/10/2010,335
520,06/11/2010,300
521,06/12/2010,134
522,06/13/2010,107
523,06/14/2010,409
524,06/15/2010,364
525,06/16/2010,290
526,06/17/2010,310
527,06/18/2010,342
528,06/19/2010,114
529,06/20/2010,130
530,06/21/2010,430
531,06/22/2010,358
532,06/23/2010,326
533,06/24/2010,312
534,06/25/2010,339
535,06/26/2010,138
536,06/27/2010,132
537,06/28/2010,526
538,06/29/2010,360
539,06/30/2010,433
540,07/01/2010,373
541,07/02/2010,383
542,07/03/2010,154
543,07/04/2010,77
544,07/05/2010,322
545,07/06/2010,326
546,07/07/2010,345
547,07/08/2010,337
548,07/09/2010,369
549,07/10/2010,136
550,07/11/2010,131
551,07/12/2010,446
552,07/13/2010,352
553,07/14/2010,340
554,07/15/2010,306
555,07/16/2010,298
556,07/17/2010,112
557,07/18/2010,123
558,07/19/2010,423
559,07/20/2010,341
560,07/21/2010,372
561,07/22/2010,310
562,07/23/2010,283
563,07/24/2010,132
564,07/25/2010,148
565,07/26/2010,439
566,07/27/2010,388
567,07/28/2010,325
568,07/29/2010,365
569,07/30/2010,402
570,07/31/2010,140
571,08/01/2010,130
572,08/02/2010,424
573,08/03/2010,365
574,08/04/2010,313
575,08/05/2010,340
576,08/06/2010,315
577,08/07/2010,102
578,08/08/2010,121
579,08/09/2010,439
580,08/10/2010,334
581,08/11/2010,317
582,08/12/2010,369
583,08/13/2010,337
584,08/14/2010,136
585,08/15/2010,146
586,08/16/2010,459
587,08/17/2010,358
588,08/18/2010,340
589,08/19/2010,331
590,08/20/2010,342
591,08/21/2010,130
592,08/22/2010,133
593,08/23/2010,456
594,08/24/2010,347
595,08/25/2010,373
596,08/26/2010,390
597,08/27/2010,384
598,08/28/2010,168
599,08/29/2010,149
600,08/30/2010,432
601,08/31/2010,382
602,09/01/2010,294
603,09/02/2010,355
604,09/03/2010,359
605,09/04/2010,129
606,09/05/2010,95
607,09/06/2010,119
608,09/07/2010,433
609,09/08/2010,362
610,09/09/2010,344
611,09/10/2010,342
612,09/11/2010,149
613,09/12/2010,139
614,09/13/2010,442
615,09/14/2010,328
616,09/15/2010,320
617,09/16/2010,285
618,09/17/2010,335
619,09/18/2010,128
620,09/19/2010,141
621,09/20/2010,369
622,09/21/2010,331
623,09/22/2010,381
624,09/23/2010,368
625,09/24/2010,374
626,09/25/2010,162
627,09/26/2010,136
628,09/27/2010,410
629,09/28/2010,415
630,09/29/2010,368
631,09/30/2010,370
632,10/01/2010,389
633,10/02/2010,148
634,10/03/2010,118
635,10/04/2010,442
636,10/05/2010,357
637,10/06/2010,385
638,10/07/2010,335
639,10/08/2010,333
640,10/09/2010,133
641,10/10/2010,151
642,10/11/2010,419
643,10/12/2010,324
644,10/13/2010,371
645,10/14/2010,369
646,10/15/2010,279
647,10/16/2010,135
648,10/17/2010,154
649,10/18/2010,429
650,10/19/2010,362
651,10/20/2010,389
652,10/21/2010,320
653,10/22/2010,325
654,10/23/2010,126
655,10/24/2010,136
656,10/25/2010,447
657,10/26/2010,373
658,10/27/2010,407
659,10/28/2010,341
660,10/29/2010,343
661,10/30/2010,162
662,10/31/2010,110
663,11/01/2010,455
664,11/02/2010,385
665,11/03/2010,333
666,11/04/2010,377
667,11/05/2010,377
668,11/06/2010,165
669,11/07/2010,124
670,11/08/2010,476
671,11/09/2010,320
672,11/10/2010,363
673,11/11/2010,333
674,11/12/2010,302
675,11/13/2010,153
676,11/14/2010,140
677,11/15/2010,461
678,11/16/2010,353
679,11/17/2010,393
680,11/18/2010,355
681,11/19/2010,330
682,11/20/2010,147
683,11/21/2010,136
684,11/22/2010,464
685,11/23/2010,371
686,11/24/2010,321
687,11/26/2010,369
688,11/27/2010,170
689,11/28/2010,219
690,11/29/2010,548
691,11/30/2010,451
692,12/01/2010,433
693,12/02/2010,344
694,12/03/2010,381
695,12/04/2010,131
696,12/05/2010,128
697,12/06/2010,458
698,12/07/2010,352
699,12/08/2010,342
700,12/09/2010,310
701,12/10/2010,360
702,12/11/2010,63
703,12/12/2010,119
704,12/13/2010,442
705,12/14/2010,339
706,12/15/2010,370
707,12/16/2010,377
708,12/17/2010,368
709,12/18/2010,148
710,12/19/2010,145
711,12/20/2010,431
712,12/21/2010,417
713,12/22/2010,354
714,12/23/2010,380
715,12/24/2010,190
716,12/26/2010,190
717,12/27/2010,527
718,12/28/2010,385
719,12/29/2010,437
720,12/30/2010,460
721,12/31/2010,311
722,01/02/2011,203
723,01/03/2011,537
724,01/04/2011,354
725,01/05/2011,324
726,01/06/2011,357
727,01/07/2011,350
728,01/08/2011,136
729,01/09/2011,139
730,01/10/2011,399
731,01/11/2011,290
732,01/12/2011,305
733,01/13/2011,370
734,01/14/2011,355
735,01/15/2011,161
736,01/16/2011,133
737,01/17/2011,365
738,01/18/2011,325
739,01/19/2011,354
740,01/20/2011,335
741,01/21/2011,302
742,01/22/2011,141
743,01/23/2011,110
744,01/24/2011,402
745,01/25/2011,386
